date_time: 2023-01-21T01:33:57.000, MJD: 59964.836377138, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.480, altitude: 42.466827, azimuth: -77.225490, rotator: 105.840931, temperature: 3.3, humidity: 22.1
date_time: 2023-01-21T01:33:58.000, MJD: 59964.836384970, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.480, altitude: 42.464942, azimuth: -77.224774, rotator: 105.841516, temperature: 3.3, humidity: 22.1
date_time: 2023-01-21T01:33:58.000, MJD: 59964.836391131, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.480, altitude: 42.461650, azimuth: -77.223719, rotator: 105.842101, temperature: 3.3, humidity: 22.1
date_time: 2023-01-21T01:33:59.000, MJD: 59964.836400928, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.480, altitude: 42.458873, azimuth: -77.222367, rotator: 105.842943, temperature: 3.3, humidity: 22.1
date_time: 2023-01-21T01:34:00.000, MJD: 59964.836411106, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.480, altitude: 42.456101, azimuth: -77.221397, rotator: 105.843887, temperature: 3.3, humidity: 22.1
date_time: 2023-01-21T01:34:01.000, MJD: 59964.836418877, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.480, altitude: 42.452966, azimuth: -77.220198, rotator: 105.844624, temperature: 3.3, humidity: 22.1
date_time: 2023-01-21T01:34:02.000, MJD: 59964.836426492, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.480, altitude: 42.450926, azimuth: -77.219727, rotator: 105.845344, temperature: 3.3, humidity: 22.0
date_time: 2023-01-21T01:34:02.000, MJD: 59964.836436856, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.480, altitude: 42.447389, azimuth: -77.218084, rotator: 105.846290, temperature: 3.3, humidity: 22.0
date_time: 2023-01-21T01:34:03.000, MJD: 59964.836448932, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.480, altitude: 42.443838, azimuth: -77.216733, rotator: 105.847263, temperature: 3.3, humidity: 22.0
date_time: 2023-01-21T01:34:04.000, MJD: 59964.836457759, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.480, altitude: 42.441730, azimuth: -77.215729, rotator: 105.848110, temperature: 3.3, humidity: 22.0
date_time: 2023-01-21T01:34:05.000, MJD: 59964.836466629, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.480, altitude: 42.438678, azimuth: -77.214771, rotator: 105.848705, temperature: 3.3, humidity: 22.0
